chinese,english,status,source
明争暗斗,overt and covert struggle,VERIFIED,PETCI
明珠弹雀,the loss outweighs the gain,VERIFIED,PETCI
明珠暗投,a good man fallen among bad company,VERIFIED,PETCI
明察秋毫,be perceptive of the minutest detail,VERIFIED,PETCI
明察秋毫之末，而不见舆薪,see the minute details but miss the major issue,VERIFIED,PETCI
明察暗访,observe publicly and investigate privately,VERIFIED,PETCI
明日黄花,things that are stale and no longer of interest,VERIFIED,PETCI
明若观火,as clear as day,VERIFIED,PETCI
昏头昏脑,absentminded,VERIFIED,PETCI
昏天黑地,pitch-dark,VERIFIED,PETCI
昏昏欲睡,drowsy,VERIFIED,PETCI
易如反掌,like taking candy from a baby,VERIFIED,PETCI
星罗棋布,studded with,VERIFIED,PETCI
星星之火，可以燎原,a single spark can start a prairie fire,VERIFIED,PETCI
星移斗转,change of the seasons,VERIFIED,PETCI
春风化雨,life-giving spring breeze and rain,VERIFIED,PETCI
春兰秋菊,each in its season,VERIFIED,PETCI
昭然若揭,all too clear,VERIFIED,PETCI
是非曲直,truth and falsehood,VERIFIED,PETCI
是非自有公论,the public is the best judge,VERIFIED,PETCI
是古非今,praise the past to condemn the present,VERIFIED,PETCI
是可忍，孰不可忍,how can this be tolerated?,VERIFIED,PETCI
时不可失,must not lose the opportunity,VERIFIED,PETCI
时不我待,time and tide wait for no man,VERIFIED,PETCI
时不我与,time is running out,VERIFIED,PETCI
时乖命蹇,unfortunate,VERIFIED,PETCI
时势造英雄,the times produce their heroes,VERIFIED,PETCI
时移俗易,customs change with the passage of time,VERIFIED,PETCI
普天同庆,universal rejoicing,VERIFIED,PETCI
晴天霹雳,a bolt out of the clear sky,VERIFIED,PETCI
智者千虑，必有一失,even a wise man sometimes makes a mistake,VERIFIED,PETCI
智勇双全,combine wisdom with courage,VERIFIED,PETCI
晕头转向,confused and disoriented,VERIFIED,PETCI
暗度陈仓,do a thing in secret,VERIFIED,PETCI
暗箭伤人,stab somebody in the back,VERIFIED,PETCI
暗中摸索,grope in the dark,VERIFIED,PETCI
暗送秋波,leer at,VERIFIED,PETCI
暗无天日,total absence of justice,VERIFIED,PETCI
畅所欲言,speak out freely,VERIFIED,PETCI
暮鼓晨钟,timely exhortations to virtue and purity,VERIFIED,PETCI
暮气沉沉,lethargic,VERIFIED,PETCI
暴风骤雨,violent storm,VERIFIED,PETCI
暴跳如雷,hit the ceiling,VERIFIED,PETCI
暴戾恣睢,violently tempered,VERIFIED,PETCI
暴露无遗,be thoroughly exposed,VERIFIED,PETCI
暴虎冯河,be foolhardy,VERIFIED,PETCI
暴殄天物,wantonly destroy products of nature,VERIFIED,PETCI
昙花一现,vanish as soon as it appears,VERIFIED,PETCI
旷日持久,be time-consuming,VERIFIED,PETCI
曲突徙薪,take precautions against a possible damage,VERIFIED,PETCI
曲高和寡,too highbrow to be popular,VERIFIED,PETCI
曲尽其妙,express the subtlety tactfully and finely,VERIFIED,PETCI
曲意逢迎,go out of one's way to curry favor,VERIFIED,PETCI
更深人静,all is quiet in the dead of night,VERIFIED,PETCI
更上一层楼,scale new heights,VERIFIED,PETCI
曾几何时,only a short while ago,VERIFIED,PETCI
月下老人,matchmaker,VERIFIED,PETCI
有备无患,be prepared against want,VERIFIED,PETCI
有板有眼,measured,VERIFIED,PETCI
有名无实,titular,VERIFIED,PETCI
有目共睹,be obvious to all,VERIFIED,PETCI
有目共赏,win high praise from anyone who sees it,VERIFIED,PETCI
有福同享，有祸同当,stick together through thick and thin,VERIFIED,PETCI
有的放矢,with a well-defined objective in mind,VERIFIED,PETCI
有头无尾,unfinished,VERIFIED,PETCI
有条不紊,in an orderly way,VERIFIED,PETCI
有条有理,well organized and clearly arranged,VERIFIED,PETCI
有奶便是娘,lick the hand of anyone who throws a few crumbs,VERIFIED,PETCI
有过之而无不及,go even farther than,VERIFIED,PETCI
有口难分,find it hard to vindicate oneself,VERIFIED,PETCI
有口难言,become tongue-tied,VERIFIED,PETCI
有口皆碑,win universal praise,VERIFIED,PETCI
有口无心,be sharp-tongued but not malicious,VERIFIED,PETCI
有机可乘,have a chance of,VERIFIED,PETCI
有加无已,be on the increase,VERIFIED,PETCI
有教无类,with education there is no distinction between classes or races of men,VERIFIED,PETCI
有其父，必有其子,"like father, like son",VERIFIED,PETCI
有气无力,faint and weak,VERIFIED,PETCI
有求必应,never refuse a request,VERIFIED,PETCI
有血有肉,true to life,VERIFIED,PETCI
有志者事竟成,where there is a will there is a way,VERIFIED,PETCI
有志之士,a person with lofty ideals,VERIFIED,PETCI
有朝一日,some day,VERIFIED,PETCI
有识之士,a man of insight,VERIFIED,PETCI
有始有终,carry something through to the end,VERIFIED,PETCI
有恃无恐,feel reassured and emboldened,VERIFIED,PETCI
有始无终,start something but fail to carry it through,VERIFIED,PETCI
有声有色,quite vivid,VERIFIED,PETCI
有则改之，无则加勉,"""correct mistakes if you have made any and avoid them if you have not""",VERIFIED,PETCI
有案可稽,be on record,VERIFIED,PETCI
有一利必有一弊,there are both advantages and disadvantages,VERIFIED,PETCI
有眼不识泰山,fail to recognize someone's eminence,VERIFIED,PETCI
有言在先,make clear beforehand,VERIFIED,PETCI
有眼无珠,unable to discriminate,VERIFIED,PETCI
有闻必录,jot down all one has heard of,VERIFIED,PETCI
有勇无谋,be foolhardy,VERIFIED,PETCI
朋比为奸,gang up,VERIFIED,PETCI
望梅止渴,vain hope,VERIFIED,PETCI
望风披靡,flee pell-mell,VERIFIED,PETCI
望风而逃,flee at the mere sight of the oncoming force,VERIFIED,PETCI
望尘莫及,hopelessly behind,VERIFIED,PETCI
望而却步,shrink back at the sight of,VERIFIED,PETCI
望而生畏,inspire awe even from a distance,VERIFIED,PETCI
望眼欲穿,have long been looking forward with eager expectancy,VERIFIED,PETCI
望洋兴叹,view with despair the vast ocean or vast work to be done,VERIFIED,PETCI
望文生义,take the words too literally,VERIFIED,PETCI
朝不保夕,be in a precarious state,VERIFIED,PETCI
朝不谋夕,live from hand to mouth,VERIFIED,PETCI
朝发夕至,start at dawn and arrive at dusk,VERIFIED,PETCI
朝令夕改,inconstant in policy,VERIFIED,PETCI
朝气蓬勃,full of vigor and vitality,VERIFIED,PETCI
朝秦暮楚,fickle and inconstant,VERIFIED,PETCI
朝三暮四,blow hot and cold,VERIFIED,PETCI
期期艾艾,stutter,VERIFIED,PETCI
木本水源,the foundation or cause of things,VERIFIED,PETCI
木已成舟,too late to change,VERIFIED,PETCI
未卜先知,foresee,VERIFIED,PETCI
未能免俗,cannot but follow conventional practice,VERIFIED,PETCI
未老先衰,decrepit before old age,VERIFIED,PETCI
未可厚非,give no cause for much criticism,VERIFIED,PETCI
未雨绸缪,save against a rainy day,VERIFIED,PETCI
本末倒置,turn things inside out,VERIFIED,PETCI
本来面目,true colors,VERIFIED,PETCI
本性难移,it is difficult to alter one's character,VERIFIED,PETCI
朱门酒肉臭，路有冻死骨,"while the rich wine and dine, the poor die of cold by the roadside",VERIFIED,PETCI
朽木不可雕,decayed wood cannot be carved - said of a useless man,VERIFIED,PETCI
朽木粪土,good-for-nothing,VERIFIED,PETCI
李代桃僵,sacrifice oneself for another person,VERIFIED,PETCI
杞人忧天,unnecessary anxiety,VERIFIED,PETCI
束之高阁,bundle something up and place it on the shelf,VERIFIED,PETCI
束手待毙,wait helplessly for death,VERIFIED,PETCI
束手就擒,allow oneself to be seized without putting up a fight,VERIFIED,PETCI
束手束脚,undue caution,VERIFIED,PETCI
束手无策,not know which way to turn,VERIFIED,PETCI
杯盘狼藉,with wine glasses and plates spread all over a dining-table,VERIFIED,PETCI
杯弓蛇影,extremely suspicious,VERIFIED,PETCI
杯水车薪,try to extinguish the fire of a cartload of firewood with a cup of water,VERIFIED,PETCI
杳如黄鹤,nowhere to be found,VERIFIED,PETCI
杳无音讯,no news of somebody for a long time,VERIFIED,PETCI
东奔西跑,rush about,VERIFIED,PETCI
东拼西凑,scrape together,VERIFIED,PETCI
东拉西扯,ramble,VERIFIED,PETCI
东鳞西爪,odds and ends,VERIFIED,PETCI
东张西望,gaze around,VERIFIED,PETCI
东施效颦,"Tung Shi, an ugly woman, knitting her eyebrows in imitation of the famous beauty Hsi Shi only to make herself uglier",VERIFIED,PETCI
东山再起,stage a comeback,VERIFIED,PETCI
枉费心机,rack one's brains in vain,VERIFIED,PETCI
枕戈待旦,maintain combat readiness,VERIFIED,PETCI
枯木逢春,get a new lease on life,VERIFIED,PETCI
枵腹从公,serve others without salary,VERIFIED,PETCI
查无实据,investigation reveals no evidence against the suspect,VERIFIED,PETCI
栩栩如生,true to life,VERIFIED,PETCI
根深蒂固,deeply rooted,VERIFIED,PETCI
格格不入,be ill-adapted to,VERIFIED,PETCI
格杀勿论,kill with lawful authority,VERIFIED,PETCI
桀犬吠尧,everyone acts according to the nature of the man whom he serves,VERIFIED,PETCI
桀骜不驯,stubborn and intractable,VERIFIED,PETCI
桃李满天下,have students everywhere,VERIFIED,PETCI
梁上君子,burglar,VERIFIED,PETCI
绠短汲深,it's beyond one whose ability is limited,VERIFIED,PETCI
条分缕析,make a careful and detailed analysis,VERIFIED,PETCI
枭首示众,cut off a person's head and hang it up as a warning to all,VERIFIED,PETCI
梳妆打扮,be dressed up,VERIFIED,PETCI
弃甲曳兵,flee pell-mell,VERIFIED,PETCI
弃旧图新,turn over a new leaf,VERIFIED,PETCI
弃如粪土,cast away like dirt,VERIFIED,PETCI
弃若敝履,cast aside like an old shoe,VERIFIED,PETCI
弃暗投明,leave the reactionary side and cross over to the side of progress,VERIFIED,PETCI
棋逢对手,even-matched,VERIFIED,PETCI
森罗万象,everything under the sun,VERIFIED,PETCI
业精于勤,efficiency comes from diligence,VERIFIED,PETCI
荣华富贵,high position and great wealth,VERIFIED,PETCI
枪林弹雨,a hail of bullets,VERIFIED,PETCI
概莫能外,without exception,VERIFIED,PETCI
乐不可支,extremely happy,VERIFIED,PETCI
乐不思蜀,so happy as to be unwilling to return home,VERIFIED,PETCI
乐极生悲,extreme joy begets sorrow,VERIFIED,PETCI
乐善好施,be prodigal of benefactions,VERIFIED,PETCI
标新立异,create something new and original,VERIFIED,PETCI
模棱两可,ambiguous,VERIFIED,PETCI
树碑立传,glorify somebody by erecting a monument to him and writing his biography,VERIFIED,PETCI
树大招风,a person in high position is liable to be attacked,VERIFIED,PETCI
树倒猢狲散,rats leave a sinking ship,VERIFIED,PETCI
树高千丈，叶落归根,a person residing away from home eventually returns to his native soil,VERIFIED,PETCI
树欲静而风不止,contradictions and problems exist in ourselves and in the world though we want to get away from them,VERIFIED,PETCI
机不可失，时不再来,don't lose a golden opportunity; it is never found again,VERIFIED,PETCI
横七竖八,in disorder,VERIFIED,PETCI
横行霸道,tyrannize,VERIFIED,PETCI
横行无忌,run amuck,VERIFIED,PETCI
横征暴敛,cruelly exploit the people with exorbitant taxes and miscellaneous levies,VERIFIED,PETCI
横冲直撞,jostle and elbow one's way,VERIFIED,PETCI
横生枝节,side issues or new problems unexpectedly crop up,VERIFIED,PETCI
横扫千军,sweep away the enemy,VERIFIED,PETCI
栉风沐雨,travel or work despite wind and rain,VERIFIED,PETCI
权衡轻重,weigh up the matter carefully,VERIFIED,PETCI
权宜之计,a makeshift,VERIFIED,PETCI
欣喜若狂,leap with joy,VERIFIED,PETCI
欣欣向荣,full of life and vigor,VERIFIED,PETCI
欲罢不能,try to stop but cannot,VERIFIED,PETCI
欲盖弥彰,"the harder one tries to conceal a thing, the more it attracts attention",VERIFIED,PETCI
欲壑难填,avarice knows no bounds,VERIFIED,PETCI
欲加之罪，何患无辞,"if you are out to condemn somebody, you can always trump up a charge",VERIFIED,PETCI
欲擒故纵,leave somebody at large to better apprehend him,VERIFIED,PETCI
欲取姑与,make concessions for the sake of future gains,VERIFIED,PETCI
欲速则不达,haste brings no success,VERIFIED,PETCI
钦差大臣,an imperial envoy,VERIFIED,PETCI
欺世盗名,win popularity by cheap means,VERIFIED,PETCI
欺人太甚,bully others too much,VERIFIED,PETCI
欺人之谈,deceptive talk,VERIFIED,PETCI
欺软怕硬,bully the weak and fear the strong,VERIFIED,PETCI
歌功颂德,heap praises and eulogies on,VERIFIED,PETCI
歌舞升平,celebrate peace by singing and dancing,VERIFIED,PETCI
叹为观止,acclaim as the acme of perfection,VERIFIED,PETCI
欢天喜地,extremely delighted,VERIFIED,PETCI
欢欣鼓舞,be elated and inspired,VERIFIED,PETCI
欢声雷动,cheers resound like rolls of thunder,VERIFIED,PETCI
正本清源,thoroughly overhaul,VERIFIED,PETCI
正襟危坐,be completely serious,VERIFIED,PETCI
正中下怀,be just what one hopes for,VERIFIED,PETCI
正人君子,gentleman,VERIFIED,PETCI
正颜厉色,put on a stern countenance,VERIFIED,PETCI
此地无银三百两,a guilty person gives himself away by conspicuously protesting his innocence,VERIFIED,PETCI
此起彼伏,ebb and flow,VERIFIED,PETCI
步步为营,consolidate at every step,VERIFIED,PETCI
步调一致,keep pace with,VERIFIED,PETCI
步履维艰,have difficulty walking,VERIFIED,PETCI
步人后尘,trail along behind others,VERIFIED,PETCI
歪风邪气,unhealthy trends and evil practices,VERIFIED,PETCI
历历在目,leap up vividly before the eyes,VERIFIED,PETCI
归根结蒂,in the end,VERIFIED,PETCI
归心似箭,impatient to get back,VERIFIED,PETCI
死不瞑目,die with a grievance or everlasting regret,VERIFIED,PETCI
死皮赖脸,brazen-faced and unreasonable,VERIFIED,PETCI
死马当活马医,make every possible effort,VERIFIED,PETCI
死得其所,die a worthy death,VERIFIED,PETCI
死里逃生,escape by the skin of one's teeth,VERIFIED,PETCI
死灰复燃,come to life again,VERIFIED,PETCI
死记硬背,mechanical memorizing,VERIFIED,PETCI
死气沉沉,dull,VERIFIED,PETCI
死去活来,hovering between life and death,VERIFIED,PETCI
死心塌地,be hell-bent on,VERIFIED,PETCI
死有余辜,even death would be too good for him,VERIFIED,PETCI
死无对证,the dead cannot bear witness,VERIFIED,PETCI
死于非命,die an unnatural death,VERIFIED,PETCI
殊途同归,reach the same goal by different routes,VERIFIED,PETCI
殊深轸念,express deep solicitude for,VERIFIED,PETCI
残杯冷炙,leftovers,VERIFIED,PETCI
残兵败将,remnants of a routed army,VERIFIED,PETCI
残缺不全,fragmentary,VERIFIED,PETCI
残渣余孽,the dregs of the old society,VERIFIED,PETCI
残山剩水,the remaining remnants of national territory,VERIFIED,PETCI
殷鉴不远,past examples serving as a warning to later generations are not far to seek,VERIFIED,PETCI
杀回马枪,wheel around and hit back,VERIFIED,PETCI
杀鸡警猴,punish somebody as a warning to others,VERIFIED,PETCI
杀鸡取卵,kill the hen to get all its eggs,VERIFIED,PETCI
杀鸡焉用牛刀,what's the need for using a large knife to kill a fowl?,VERIFIED,PETCI
杀气腾腾,have plenty of fight in one,VERIFIED,PETCI
杀身成仁,die for a just cause,VERIFIED,PETCI
杀人不见血,kill without spilling blood,VERIFIED,PETCI
杀人不眨眼,kill without batting an eyelid,VERIFIED,PETCI
杀人灭口,kill all so that there won't be any eye-witness left,VERIFIED,PETCI
杀人如麻,kill people like flies,VERIFIED,PETCI
杀人越货,kill a person and seize his goods,VERIFIED,PETCI
杀一儆百,execute one as a warming to a hundred where,VERIFIED,PETCI
毁于一旦,be destroyed in a moment,VERIFIED,PETCI
毅然决然,firmly,VERIFIED,PETCI
每逢佳节倍思亲,on festive occasions more than ever we think of our dear ones far away,VERIFIED,PETCI
每况愈下,steadily deteriorate,VERIFIED,PETCI
比比皆是,can be seen everywhere,VERIFIED,PETCI
比肩接踵,be crowded with people,VERIFIED,PETCI
比上不足，比下有余,"worse off than some, better off than many",VERIFIED,PETCI
毛骨悚然,make one's flesh creep,VERIFIED,PETCI
毛手毛脚,perverted,VERIFIED,PETCI
毛遂自荐,volunteer one's services,VERIFIED,PETCI
毫不在乎,do not give a dime,VERIFIED,PETCI
毫厘不爽,without the slightest error,VERIFIED,PETCI
毫无二致,identical,VERIFIED,PETCI
民不聊生,live on the edge of starvation,VERIFIED,PETCI
民不畏死，奈何以死惧之,"the people fear no death, why threaten them with it?",VERIFIED,PETCI
民穷财尽,the people suffer privation and the country has depleted its resources,VERIFIED,PETCI
民脂民膏,flesh and blood of the people,VERIFIED,PETCI
民生凋敝,a mass impoverishment,VERIFIED,PETCI
民以食为天,food is the first necessity,VERIFIED,PETCI
民怨沸腾,seething popular discontent,VERIFIED,PETCI
气吞山河,imbued with a spirit that can conquer mountains and rivers,VERIFIED,PETCI
气贯长虹,full of noble aspiration and daring,VERIFIED,PETCI
气急败坏,flustered and exasperated,VERIFIED,PETCI
气息奄奄,at death's door,VERIFIED,PETCI
气象万千,majestic,VERIFIED,PETCI
气壮山河,full of power and grandeur,VERIFIED,PETCI
气势磅礴,of a great momentum,VERIFIED,PETCI
气势汹汹,be in a very threatening manner,VERIFIED,PETCI
气焰嚣张,be swollen with arrogance,VERIFIED,PETCI
气味相投,people of the same tastes,VERIFIED,PETCI
水到渠成,something achieved without effort,VERIFIED,PETCI
水滴石穿,constant effort brings success,VERIFIED,PETCI
水落石出,the truth is out,VERIFIED,PETCI
水火不相容,irreconcilable,VERIFIED,PETCI
水火无情,floods and fires have no mercy for anybody,VERIFIED,PETCI
水泄不通,tightly packed,VERIFIED,PETCI
水至清则无鱼,things do not exist in absolute purity,VERIFIED,PETCI
水涨船高,particular things improve with the improvement of the general situation,VERIFIED,PETCI
水中捞月,futile fantasy,VERIFIED,PETCI
水深火热,extreme misery,VERIFIED,PETCI
水乳交融,inseparable,VERIFIED,PETCI
永志不忘,will always cherish the memory of somebody or something,VERIFIED,PETCI
永垂不朽,live forever in the hearts of,VERIFIED,PETCI
求大同，存小异,seek common ground on major issues while leaving aside the minor differences,VERIFIED,PETCI
求同存异,seek common ground while reserving differences,VERIFIED,PETCI
求全责备,demand perfection,VERIFIED,PETCI
求之不得,all that one could wish for,VERIFIED,PETCI
汗马功劳,war exploits,VERIFIED,PETCI
汗牛充栋,an immense number of books,VERIFIED,PETCI
汗流浃背,streaming with sweat,VERIFIED,PETCI
江河日下,be on the decline,VERIFIED,PETCI
江心补漏,too late,VERIFIED,PETCI
江山易改，本性难移,a leopard cannot change its spots,VERIFIED,PETCI
江洋大盗,an infamous robber or pirate,VERIFIED,PETCI
污泥浊水,filthy mire,VERIFIED,PETCI
决一雌雄,fight it out,VERIFIED,PETCI
沁人心脾,refreshing,VERIFIED,PETCI
沃野千里,a vast expanse of fertile land,VERIFIED,PETCI
沆瀣一气,like attracts like,VERIFIED,PETCI
沉默寡言,of few words,VERIFIED,PETCI
沉冤莫白,a deep grievance,VERIFIED,PETCI
沙里淘金,get a small return from great effort,VERIFIED,PETCI
没齿不忘,remember for the rest of one's life,VERIFIED,PETCI
油头滑脑,flippant,VERIFIED,PETCI
油腔滑调,tongue in cheek,VERIFIED,PETCI
油嘴滑舌,slice,VERIFIED,PETCI
河清难俟,the time would be too long,VERIFIED,PETCI
河清海晏,a peaceful era,VERIFIED,PETCI
沽名钓誉,court publicity,VERIFIED,PETCI
治病救人,cure the sickness to save the patient,VERIFIED,PETCI
治国安民,run the country well and give the people peace and security,VERIFIED,PETCI
治丝益棼,do something which only makes matters worse,VERIFIED,PETCI
沾沾自喜,be very pleased with oneself,VERIFIED,PETCI
沿波讨源,make a thorough investigation of a thing,VERIFIED,PETCI
沿门托钵,beg from house to house with a bowl in hand,VERIFIED,PETCI
泛泛之交,casual acquaintance,VERIFIED,PETCI
泛滥成灾,be swamped by something,VERIFIED,PETCI
波澜壮阔,unfold on a magnificent scale,VERIFIED,PETCI
泣不成声,choke with sobs,VERIFIED,PETCI
泥菩萨过河，自身难保,hardly able to save oneself,VERIFIED,PETCI
泥牛入海,gone forever,VERIFIED,PETCI
泥沙俱下,there is a mingling of good and bad,VERIFIED,PETCI
泥塑木雕,as wooden as a dummy,VERIFIED,PETCI
泰山北斗,"Mt. Tai and the Big Dipper, both are high and looked up to - said in praise of worthy men",VERIFIED,PETCI
泰山鸿毛,a great mountain and a goose feather,VERIFIED,PETCI
泰山压顶,bear down on one with the weight of Mount Tai,VERIFIED,PETCI
泰山压卵,"when the extremely powerful crush the extremely weak, the",VERIFIED,PETCI
泰然处之,not bat an eyelid,VERIFIED,PETCI
泰然自若,be self-possessed,VERIFIED,PETCI
泰阿倒持,surrender one's power to another at one's own peril,VERIFIED,PETCI
洋洋大观,spectacular sight,VERIFIED,PETCI
洋洋得意,with evident pride,VERIFIED,PETCI
洋为中用,make foreign things serve China,VERIFIED,PETCI
洗心革面,turn over a new leaf,VERIFIED,PETCI
洗耳恭听,be all ears,VERIFIED,PETCI
洞烛其奸,see through somebody's treachery,VERIFIED,PETCI
洞察一切,have a keen insight into matters,VERIFIED,PETCI
洞若观火,clear like looking at fire,VERIFIED,PETCI
津津乐道,take delight in talking about,VERIFIED,PETCI
津津有味,with great interest,VERIFIED,PETCI
洪水猛兽,like floods and wild beasts,VERIFIED,PETCI
汹涌澎湃,torrential,VERIFIED,PETCI
活到老，学到老,one is never too old to learn,VERIFIED,PETCI
活灵活现,make something come to life,VERIFIED,PETCI
流芳百世,be immortalized,VERIFIED,PETCI
流离转徙,vagrant,VERIFIED,PETCI
流离失所,displaced,VERIFIED,PETCI
流连忘返,enjoy oneself so much that one forgets to go home,VERIFIED,PETCI
流水不腐，户枢不蠹,running water is never stale and a door-hinge never gets worm-eaten,VERIFIED,PETCI
流言蜚语,derogatory remarks,VERIFIED,PETCI
浩浩荡荡,enormous and powerful,VERIFIED,PETCI
浩然之气,noble spirit,VERIFIED,PETCI
浩如烟海,tremendous amount of,VERIFIED,PETCI
浴血奋战,fight a bloody battle,VERIFIED,PETCI
浮光掠影,shimming over the surface,VERIFIED,PETCI
浮想联翩,thoughts thronging one's mind,VERIFIED,PETCI
浮云朝露,passing clouds and morning dew,VERIFIED,PETCI
海底捞针,look for a needle in a haystack,VERIFIED,PETCI
海底捞月,strive for the impossible or illusory,VERIFIED,PETCI
海枯石烂,forevermore,VERIFIED,PETCI
海阔天空,talk at random,VERIFIED,PETCI
海誓山盟,pledge of eternal love,VERIFIED,PETCI
海市蜃楼,imaginary,VERIFIED,PETCI
海外奇谈,a tall story,VERIFIED,PETCI
泾渭不分,make no such distinction between good and evil,VERIFIED,PETCI
泾渭分明,make a clear distinction between good and evil,VERIFIED,PETCI
涓滴归公,turn in every cent of public money,VERIFIED,PETCI
涸辙之鲋,a person in a desperate situation,VERIFIED,PETCI
凄风苦雨,wretched circumstances,VERIFIED,PETCI
淋漓尽致,most incisively and vividly,VERIFIED,PETCI
淡然处之,give somebody the cold shoulder,VERIFIED,PETCI
深不可测,have no bottom,VERIFIED,PETCI
深谋远虑,think deeply and plan carefully,VERIFIED,PETCI
深明大义,be deeply conscious of the righteousness of a cause,VERIFIED,PETCI
深沟高垒,strong defence,VERIFIED,PETCI
深更半夜,in the dead of night,VERIFIED,PETCI
深居简出,live in solitude,VERIFIED,PETCI
深情厚谊,profound sentiments of friendship,VERIFIED,PETCI
深仇大恨,have a dead hatred for,VERIFIED,PETCI
深山老林,"remote, thickly forested mountains",VERIFIED,PETCI
深入浅出,explain the profound in simple terms,VERIFIED,PETCI
深入人心,capture the hearts of the people,VERIFIED,PETCI
深藏若虚,be modest about one's talent or learning,VERIFIED,PETCI
深思熟虑,ponder deeply,VERIFIED,PETCI
深恶痛绝,hate deeply,VERIFIED,PETCI
深文周纳,frame and punish severely,VERIFIED,PETCI
混世魔王,devil incarnate,VERIFIED,PETCI
混淆黑白,confuse black and white,VERIFIED,PETCI
混淆是非,confuse right and wrong,VERIFIED,PETCI
混淆视听,mislead the public,VERIFIED,PETCI
混为一谈,confuse something with something else,VERIFIED,PETCI
清规戒律,"outmoded rules, regulations and conventions",VERIFIED,PETCI
清夜扪心,examine one's own conscience in the stillness of the night,VERIFIED,PETCI
浅尝辄止,be satisfied with a smattering of a subject,VERIFIED,PETCI
添枝加叶,embellish a story,VERIFIED,PETCI
添砖加瓦,do one's little bit,VERIFIED,PETCI
添油加醋,add color and emphasis to,VERIFIED,PETCI
涣然冰释,melt away,VERIFIED,PETCI
游手好闲,loaf about,VERIFIED,PETCI
游刃有余,be move than equal to a task,VERIFIED,PETCI
浑浑噩噩,muddle-headed,VERIFIED,PETCI
浑身是胆,be every inch a hero,VERIFIED,PETCI
浑水摸鱼,fish in troubled waters,VERIFIED,PETCI
浑然一体,an integral whole,VERIFIED,PETCI
湮没无闻,drift into obscurity,VERIFIED,PETCI
温故而知新,reviewing the past helps one to understand the present,VERIFIED,PETCI
温情脉脉,full of tender feeling,VERIFIED,PETCI
温文尔雅,gentle and cultivated,VERIFIED,PETCI
源源不绝,inexhaustible,VERIFIED,PETCI
源远流长,of ancient origin and long development,VERIFIED,PETCI
源源而来,move on in a continuous stream,VERIFIED,PETCI
溜之大吉,make oneself scarce,VERIFIED,PETCI
沧海横流,the changes and disorders of the times,VERIFIED,PETCI
沧海桑田,the world is changing all the time,VERIFIED,PETCI
沧海一粟,a drop in the ocean,VERIFIED,PETCI
灭顶之灾,be drowned,VERIFIED,PETCI
灭绝人性,inhuman,VERIFIED,PETCI
灭此朝食,be anxious to finish off the enemy immediately,VERIFIED,PETCI
滑头滑脑,crafty,VERIFIED,PETCI
滔滔不绝,talk your ear off,VERIFIED,PETCI
滴水成冰,freezing cold,VERIFIED,PETCI
滴水穿石,little strokes fell great oaks,VERIFIED,PETCI
滚瓜烂熟,have something at one's fingertips,VERIFIED,PETCI
满不在乎,not worry at all,VERIFIED,PETCI
满面春风,radiant with happiness,VERIFIED,PETCI
满腹牢骚,full of grievances,VERIFIED,PETCI
满腹经纶,profoundly learned and talented,VERIFIED,PETCI
满谷满坑,in great abundance,VERIFIED,PETCI
满腔热忱,with warmth and enthusiasm,VERIFIED,PETCI
满招损，谦受益,one loses by pride and gains by modesty,VERIFIED,PETCI
满城风雨,become the talk of the town,VERIFIED,PETCI
满载而归,come back with fruitful results,VERIFIED,PETCI
满园春色,a garden full of the beauty of spring,VERIFIED,PETCI
漆黑一团,pitch-dark,VERIFIED,PETCI
漏洞百出,full of loopholes,VERIFIED,PETCI
漠不关心,indifferent and apathetic,VERIFIED,PETCI
漠然置之,show no concern for,VERIFIED,PETCI
漫不经心,careless,VERIFIED,PETCI
漫山遍野,all over the mountains and plains,VERIFIED,PETCI
洁身自好,lead an honest and clean life,VERIFIED,PETCI
泼妇骂街,like a shrew shouting abuse in the street,VERIFIED,PETCI
潜移默化,be unconsciously influenced,VERIFIED,PETCI
溃不成军,be completely defeated,VERIFIED,PETCI
激浊扬清,eliminate vice and exalt virtue,VERIFIED,PETCI
滥竽充数,just to fill up a vacancy,VERIFIED,PETCI
火中取栗,pull chestnuts out of the fire,VERIFIED,PETCI
火烧眉毛,a matter of the utmost urgency,VERIFIED,PETCI
火烧火燎,restless with anxiety,VERIFIED,PETCI
火上加油,add fuel to the flames,VERIFIED,PETCI
火树银花,a display of fireworks and a sea of lanterns,VERIFIED,PETCI
灰心丧气,be utterly disheartened,VERIFIED,PETCI
炙手可热,burning to the touch,VERIFIED,PETCI
炯炯有神,bright piercing eyes,VERIFIED,PETCI
乌合之众,a motley crowd,VERIFIED,PETCI
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju,VERIFIED,PETCI
乌烟瘴气,a foul atmosphere,VERIFIED,PETCI
烈火见真金,true blue will never stain,VERIFIED,PETCI
烘云托月,art of using contrasting effects,VERIFIED,PETCI
烜赫一时,be far-famed for a time,VERIFIED,PETCI
烽火连天,continuous wars,VERIFIED,PETCI
焦头烂额,utterly exhausted from overwork or anxiety,VERIFIED,PETCI
无病呻吟,make a fuss about an imaginary illness,VERIFIED,PETCI
无米之炊,make bricks without straw,VERIFIED,PETCI
无名小卒,a nobody,VERIFIED,PETCI
无名英雄,an unknown hero,VERIFIED,PETCI
